@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
189,350,4,68933,1298,0.981518,0.988701,0.005052,0.988701,0.994948,0.010052,0.981554,1.007281,0.002318
190,350,4,68932,1299,0.981504,0.988701,0.005052,0.988701,0.994948,0.010052,0.98154,1.007295,0.002318
191,350,4,68930,1301,0.981475,0.988701,0.005052,0.988701,0.994948,0.010053,0.981512,1.007324,0.002318
192,350,4,68929,1302,0.981461,0.988701,0.005052,0.988701,0.994948,0.010053,0.981497,1.007339,0.002318
193,350,4,68921,1310,0.981347,0.988701,0.005053,0.988701,0.994947,0.010054,0.981384,1.007455,0.002318
194,350,4,68920,1311,0.981333,0.988701,0.005053,0.988701,0.994947,0.010054,0.98137,1.00747,0.004219
195,350,4,68919,1312,0.981319,0.988701,0.005053,0.988701,0.994947,0.010054,0.981356,1.007484,0.004219
196,350,4,68918,1313,0.981305,0.988701,0.005053,0.988701,0.994947,0.010054,0.981342,1.007499,0.004231
197,350,4,68917,1314,0.98129,0.988701,0.005053,0.988701,0.994947,0.010054,0.981327,1.007513,0.004233
198,350,4,68915,1316,0.981262,0.988701,0.005053,0.988701,0.994947,0.010055,0.981299,1.007542,0.004233
199,350,4,68914,1317,0.981248,0.988701,0.005053,0.988701,0.994947,0.010055,0.981285,1.007557,0.004233
200,350,4,68913,1318,0.981233,0.988701,0.005053,0.988701,0.994947,0.010055,0.981271,1.007572,0.004233
201,350,4,68909,1322,0.981176,0.988701,0.005053,0.988701,0.994947,0.010056,0.981214,1.00763,0.004233
202,350,4,68908,1323,0.981162,0.988701,0.005054,0.988701,0.994946,0.010056,0.9812,1.007644,0.004233
203,350,4,68907,1324,0.981148,0.988701,0.005054,0.988701,0.994946,0.010056,0.981186,1.007659,0.004233
204,350,4,68906,1325,0.981134,0.988701,0.005054,0.988701,0.994946,0.010056,0.981172,1.007673,0.004233
205,350,4,68905,1326,0.981119,0.988701,0.005054,0.988701,0.994946,0.010056,0.981157,1.007688,0.004233
206,350,4,68904,1327,0.981105,0.988701,0.005054,0.988701,0.994946,0.010056,0.981143,1.007703,0.004233
207,350,4,68903,1328,0.981091,0.988701,0.005054,0.988701,0.994946,0.010056,0.981129,1.007717,0.004233
208,350,4,68902,1329,0.981077,0.988701,0.005054,0.988701,0.994946,0.010057,0.981115,1.007732,0.004233
