@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
146,0,1,173,651,0.209951,0,0,0,1,0,0.209697,?,0.04056
147,0,1,172,652,0.208738,0,0,0,1,0,0.208485,?,0.040655
148,0,1,167,657,0.20267,0,0,0,1,0,0.202424,?,0.041257
149,0,1,166,658,0.201456,0,0,0,1,0,0.201212,?,0.044077
150,0,1,164,660,0.199029,0,0,0,1,0,0.198788,?,0.044399
151,0,1,162,662,0.196602,0,0,0,1,0,0.196364,?,0.045615
152,0,1,161,663,0.195388,0,0,0,1,0,0.195152,?,0.046285
153,0,1,160,664,0.194175,0,0,0,1,0,0.193939,?,0.046902
154,0,1,159,665,0.192961,0,0,0,1,0,0.192727,?,0.047697
155,0,1,158,666,0.191748,0,0,0,1,0,0.191515,?,0.047781
156,0,1,157,667,0.190534,0,0,0,1,0,0.190303,?,0.047919
157,0,1,156,668,0.18932,0,0,0,1,0,0.189091,?,0.049534
158,0,1,155,669,0.188107,0,0,0,1,0,0.187879,?,0.051132
159,0,1,154,670,0.186893,0,0,0,1,0,0.186667,?,0.05846
160,0,1,153,671,0.18568,0,0,0,1,0,0.185455,?,0.061438
161,0,1,152,672,0.184466,0,0,0,1,0,0.184242,?,0.064697
162,0,1,151,673,0.183252,0,0,0,1,0,0.18303,?,0.069798
163,0,1,136,688,0.165049,0,0,0,1,0,0.164848,?,0.070433
164,0,1,135,689,0.163835,0,0,0,1,0,0.163636,?,0.070914
165,0,1,134,690,0.162621,0,0,0,1,0,0.162424,?,0.071883
166,0,1,130,694,0.157767,0,0,0,1,0,0.157576,?,0.072046
